strain	cnag	cds_bp	mappable_bp	mappable_frac	call_parent	call_01	call_02	call_03	common_callable_bp	common_frac_mappable	common_frac_cds
106	CNAG_05818	5793	5793	1.000	5793	5793	5793	5793	5793	1.000	1.000
106	CNAG_00914	1857	1857	1.000	1857	1857	1857	1857	1857	1.000	1.000
106	CNAG_06487	2832	2832	1.000	2832	2832	2832	2832	2832	1.000	1.000
106	CNAG_01845	3258	3258	1.000	3258	3258	3258	3258	3258	1.000	1.000
106	CNAG_00730	4629	4629	1.000	4629	4629	4629	4629	4629	1.000	1.000
106	CNAG_06150	2097	2097	1.000	2097	2097	2097	2097	2097	1.000	1.000
106	CNAG_06642	7080	7080	1.000	7080	7080	7080	7080	7080	1.000	1.000
106	CNAG_03765	2961	2961	1.000	2961	2961	2961	2961	2961	1.000	1.000
106	CNAG_05135	3351	3351	1.000	3351	3351	3351	3351	3351	1.000	1.000
106	CNAG_01230	1365	1365	1.000	1365	1365	1365	1365	1365	1.000	1.000
106	CNAG_03785	2625	2625	1.000	2625	2625	2625	2625	2625	1.000	1.000
106	CNAG_04514	1278	1278	1.000	1278	1278	1278	1278	1278	1.000	1.000
106	CNAG_00156	3282	3282	1.000	3282	3282	3282	3282	3282	1.000	1.000
106	CNAG_00888	525	525	1.000	525	525	525	525	525	1.000	1.000
106	CNAG_01232	4242	4242	1.000	4242	4242	4242	4242	4242	1.000	1.000
106	CNAG_00040	1641	1641	1.000	1641	1641	1641	1641	1641	1.000	1.000
106	CNAG_04678	1725	1725	1.000	1725	1725	1725	1725	1725	1.000	1.000
106	CNAG_01523	1095	1095	1.000	1095	1095	1095	1095	1095	1.000	1.000
106	CNAG_03347	2502	2502	1.000	2502	2502	2502	2502	2502	1.000	1.000
106	CNAG_00025	1831	1831	1.000	1831	1831	1831	1831	1831	1.000	1.000
106	CNAG_02217	2793	2793	1.000	2793	2793	2793	2793	2793	1.000	1.000
106	CNAG_05292	2007	2007	1.000	2007	2007	2007	2007	2007	1.000	1.000
126	CNAG_06508	5397	5397	1.000	5397	5397	5397	5397	5397	1.000	1.000
126	CNAG_04796	1917	1917	1.000	1917	1917	1917	1917	1917	1.000	1.000
126	CNAG_00854	759	759	1.000	759	759	759	759	759	1.000	1.000
126	CNAG_05818	5793	5793	1.000	5793	5793	5793	5793	5793	1.000	1.000
126	CNAG_00914	1857	1857	1.000	1857	1857	1857	1857	1857	1.000	1.000
126	CNAG_06487	2832	2832	1.000	2832	2832	2832	2832	2832	1.000	1.000
126	CNAG_01845	3258	3258	1.000	3258	3258	3258	3258	3258	1.000	1.000
126	CNAG_00730	4629	4629	1.000	4629	4629	4629	4629	4629	1.000	1.000
126	CNAG_06150	2097	2097	1.000	2097	2097	2097	2097	2097	1.000	1.000
126	CNAG_06642	7080	7080	1.000	7080	7080	7080	7080	7080	1.000	1.000
126	CNAG_03765	2961	2961	1.000	2961	2961	2961	2961	2961	1.000	1.000
126	CNAG_05135	3351	3351	1.000	3351	3351	3351	3351	3351	1.000	1.000
126	CNAG_01230	1365	1365	1.000	1365	1365	1365	1365	1365	1.000	1.000
126	CNAG_03785	2625	2625	1.000	2625	2625	2625	2625	2625	1.000	1.000
126	CNAG_04514	1278	1278	1.000	1278	1278	1278	1278	1278	1.000	1.000
126	CNAG_00156	3282	3282	1.000	3282	3282	3282	3282	3282	1.000	1.000
126	CNAG_00888	525	525	1.000	525	525	525	525	525	1.000	1.000
126	CNAG_01232	4242	4242	1.000	4242	4242	4242	4242	4242	1.000	1.000
126	CNAG_00040	1641	1641	1.000	1641	1641	1641	1641	1641	1.000	1.000
126	CNAG_04678	1725	1725	1.000	1725	1725	1725	1725	1725	1.000	1.000
126	CNAG_01523	1095	1095	1.000	1095	1095	1095	1095	1095	1.000	1.000
126	CNAG_03347	2502	2502	1.000	2502	2502	2502	2502	2502	1.000	1.000
126	CNAG_00025	1831	1831	1.000	1831	1831	1831	1831	1831	1.000	1.000
126	CNAG_02217	2793	2793	1.000	2793	2793	2793	2793	2793	1.000	1.000
126	CNAG_05292	2007	2007	1.000	2007	2007	2007	2007	2007	1.000	1.000
128	CNAG_06508	5397	5397	1.000	5397	5397	5397	5397	5397	1.000	1.000
128	CNAG_04796	1917	1917	1.000	1917	1917	1917	1917	1917	1.000	1.000
128	CNAG_00854	759	759	1.000	759	759	759	759	759	1.000	1.000
128	CNAG_05818	5793	5793	1.000	5793	5793	5793	5793	5793	1.000	1.000
128	CNAG_00914	1857	1857	1.000	1857	1857	1857	1857	1857	1.000	1.000
128	CNAG_06487	2832	2832	1.000	2832	2832	2832	2832	2832	1.000	1.000
128	CNAG_01845	3258	3258	1.000	3258	3258	3258	3258	3258	1.000	1.000
128	CNAG_00730	4629	4629	1.000	4629	4629	4629	4629	4629	1.000	1.000
128	CNAG_06150	2097	2097	1.000	2097	2097	2097	2097	2097	1.000	1.000
128	CNAG_06642	7080	7080	1.000	7080	7080	7080	7080	7080	1.000	1.000
128	CNAG_03765	2961	2961	1.000	2961	2961	2961	2961	2961	1.000	1.000
128	CNAG_05135	3351	3351	1.000	3351	3351	3351	3351	3351	1.000	1.000
128	CNAG_01230	1365	1365	1.000	1365	1365	1365	1365	1365	1.000	1.000
128	CNAG_03785	2625	2625	1.000	2625	2625	2625	2625	2625	1.000	1.000
128	CNAG_04514	1278	1278	1.000	1278	1278	1278	1278	1278	1.000	1.000
128	CNAG_00156	3282	3282	1.000	3282	3282	3282	3282	3282	1.000	1.000
128	CNAG_00888	525	525	1.000	525	525	525	525	525	1.000	1.000
128	CNAG_01232	4242	4242	1.000	4242	4242	4242	4242	4242	1.000	1.000
128	CNAG_00040	1641	1641	1.000	1641	1641	1641	1641	1641	1.000	1.000
128	CNAG_04678	1725	1725	1.000	1725	1725	1725	1725	1725	1.000	1.000
128	CNAG_01523	1095	1095	1.000	1095	1095	1095	1095	1095	1.000	1.000
128	CNAG_03347	2502	2502	1.000	2502	2502	2502	2502	2502	1.000	1.000
128	CNAG_00025	1831	1831	1.000	1831	1831	1831	1831	1831	1.000	1.000
128	CNAG_02217	2793	2793	1.000	2793	2793	2793	2793	2793	1.000	1.000
128	CNAG_05292	2007	2007	1.000	2007	2007	2007	2007	2007	1.000	1.000
147	CNAG_06508	5397	5397	1.000	5397	5397	5397	5397	5397	1.000	1.000
147	CNAG_04796	1917	1917	1.000	1917	1917	1917	1917	1917	1.000	1.000
147	CNAG_00854	759	759	1.000	759	759	759	759	759	1.000	1.000
147	CNAG_05818	5793	5793	1.000	5793	5793	5793	5793	5793	1.000	1.000
147	CNAG_00914	1857	1857	1.000	1857	1857	1857	1857	1857	1.000	1.000
147	CNAG_06487	2832	2832	1.000	2832	2832	2832	2832	2832	1.000	1.000
147	CNAG_01845	3258	3258	1.000	3258	3258	3258	3258	3258	1.000	1.000
147	CNAG_00730	4629	4629	1.000	4629	4629	4629	4629	4629	1.000	1.000
147	CNAG_06150	2097	2097	1.000	2097	2097	2097	2097	2097	1.000	1.000
147	CNAG_06642	7080	7080	1.000	7080	7080	7080	7080	7080	1.000	1.000
147	CNAG_03765	2961	2961	1.000	2961	2961	2961	2961	2961	1.000	1.000
147	CNAG_05135	3351	3351	1.000	3351	3351	3351	3351	3351	1.000	1.000
147	CNAG_01230	1365	1365	1.000	1365	1365	1365	1365	1365	1.000	1.000
147	CNAG_03785	2625	2625	1.000	2625	2625	2625	2625	2625	1.000	1.000
147	CNAG_04514	1278	1278	1.000	1278	1278	1278	1278	1278	1.000	1.000
147	CNAG_00156	3282	3282	1.000	3282	3282	3282	3282	3282	1.000	1.000
147	CNAG_00888	525	525	1.000	525	525	525	525	525	1.000	1.000
147	CNAG_01232	4242	4242	1.000	4242	4242	4242	4242	4242	1.000	1.000
147	CNAG_00040	1641	1641	1.000	1641	1641	1641	1641	1641	1.000	1.000
147	CNAG_04678	1725	1725	1.000	1725	1725	1725	1725	1725	1.000	1.000
147	CNAG_01523	1095	1095	1.000	1095	1095	1095	1095	1095	1.000	1.000
147	CNAG_03347	2502	2502	1.000	2502	2502	2502	2502	2502	1.000	1.000
147	CNAG_00025	1831	1831	1.000	1831	1831	1831	1831	1831	1.000	1.000
147	CNAG_02217	2793	2793	1.000	2793	2793	2793	2793	2793	1.000	1.000
147	CNAG_05292	2007	2007	1.000	2007	2007	2007	2007	2007	1.000	1.000
150	CNAG_06508	5397	5397	1.000	5397	5397	5397	5397	5397	1.000	1.000
150	CNAG_04796	1917	1917	1.000	1917	1917	1917	1917	1917	1.000	1.000
150	CNAG_00854	759	759	1.000	759	759	759	759	759	1.000	1.000
150	CNAG_05818	5793	5793	1.000	5793	5793	5793	5793	5793	1.000	1.000
150	CNAG_00914	1857	1857	1.000	1857	1857	1857	1857	1857	1.000	1.000
150	CNAG_06487	2832	2832	1.000	2832	2832	2832	2832	2832	1.000	1.000
150	CNAG_01845	3258	3258	1.000	3258	3258	3258	3258	3258	1.000	1.000
150	CNAG_00730	4629	4629	1.000	4629	4629	4629	4629	4629	1.000	1.000
150	CNAG_06150	2097	2097	1.000	2097	2097	2097	2097	2097	1.000	1.000
150	CNAG_06642	7080	7080	1.000	7080	7080	7080	7080	7080	1.000	1.000
150	CNAG_03765	2961	2961	1.000	2961	2961	2961	2961	2961	1.000	1.000
150	CNAG_05135	3351	3351	1.000	3351	3351	3351	3351	3351	1.000	1.000
150	CNAG_01230	1365	1365	1.000	1365	1365	1365	1365	1365	1.000	1.000
150	CNAG_03785	2625	2625	1.000	2625	2625	2625	2625	2625	1.000	1.000
150	CNAG_04514	1278	1278	1.000	1278	1278	1278	1278	1278	1.000	1.000
150	CNAG_00156	3282	3282	1.000	3282	3282	3282	3282	3282	1.000	1.000
150	CNAG_00888	525	525	1.000	525	525	525	525	525	1.000	1.000
150	CNAG_01232	4242	4242	1.000	4242	4242	4242	4242	4242	1.000	1.000
150	CNAG_00040	1641	1641	1.000	1641	1641	1641	1641	1641	1.000	1.000
150	CNAG_04678	1725	1725	1.000	1725	1725	1725	1725	1725	1.000	1.000
150	CNAG_01523	1095	1095	1.000	1095	1095	1095	1095	1095	1.000	1.000
150	CNAG_03347	2502	2502	1.000	2502	2502	2502	2502	2502	1.000	1.000
150	CNAG_00025	1831	1831	1.000	1831	1831	1831	1831	1831	1.000	1.000
150	CNAG_02217	2793	2793	1.000	2793	2793	2793	2793	2793	1.000	1.000
150	CNAG_05292	2007	2007	1.000	2007	2007	2007	2007	2007	1.000	1.000
160	CNAG_06508	5397	5397	1.000	5397	5397	5397	5397	5397	1.000	1.000
160	CNAG_04796	1917	1917	1.000	1917	1917	1917	1917	1917	1.000	1.000
160	CNAG_00854	759	759	1.000	756	757	755	751	751	0.989	0.989
160	CNAG_05818	5793	5793	1.000	5790	5790	5790	5791	5790	0.999	0.999
160	CNAG_00914	1857	1857	1.000	1857	1857	1857	1857	1857	1.000	1.000
160	CNAG_06487	2832	2832	1.000	2829	2829	2829	2829	2829	0.999	0.999
160	CNAG_01845	3258	3258	1.000	3258	3258	3258	3258	3258	1.000	1.000
160	CNAG_00730	4629	4629	1.000	4629	4629	4629	4629	4629	1.000	1.000
160	CNAG_06150	2097	2097	1.000	2097	2097	2097	2097	2097	1.000	1.000
160	CNAG_06642	7080	7080	1.000	7080	7080	7080	7080	7080	1.000	1.000
160	CNAG_03765	2961	2961	1.000	2961	2961	2961	2961	2961	1.000	1.000
160	CNAG_05135	3351	3351	1.000	3273	3281	3255	3284	3253	0.971	0.971
160	CNAG_01230	1365	1365	1.000	1365	1357	1358	1357	1357	0.994	0.994
160	CNAG_03785	2625	2625	1.000	2625	2625	2625	2625	2625	1.000	1.000
160	CNAG_04514	1278	1278	1.000	1262	1262	1277	1260	1260	0.986	0.986
160	CNAG_00156	3282	3282	1.000	3274	3274	3273	3274	3273	0.997	0.997
160	CNAG_00888	525	525	1.000	525	525	525	525	525	1.000	1.000
160	CNAG_01232	4242	4242	1.000	4241	4242	4239	4240	4239	0.999	0.999
160	CNAG_00040	1641	1641	1.000	1638	1640	1637	1637	1637	0.998	0.998
160	CNAG_04678	1725	1725	1.000	1725	1725	1725	1725	1725	1.000	1.000
160	CNAG_01523	1095	1095	1.000	1093	1093	1093	1093	1093	0.998	0.998
160	CNAG_03347	2502	2502	1.000	2502	2502	2502	2502	2502	1.000	1.000
160	CNAG_00025	1831	1831	1.000	1828	1828	1828	1828	1828	0.998	0.998
160	CNAG_02217	2793	2793	1.000	2784	2783	2784	2784	2783	0.996	0.996
160	CNAG_05292	2007	2007	1.000	2001	2001	2001	2001	2001	0.997	0.997
162	CNAG_06508	5397	5397	1.000	5397	5397	5397	5397	5397	1.000	1.000
162	CNAG_04796	1917	1917	1.000	1917	1917	1917	1917	1917	1.000	1.000
162	CNAG_00854	759	759	1.000	759	759	759	759	759	1.000	1.000
162	CNAG_05818	5793	5793	1.000	5793	5793	5793	5793	5793	1.000	1.000
162	CNAG_00914	1857	1857	1.000	1857	1857	1857	1857	1857	1.000	1.000
162	CNAG_06487	2832	2832	1.000	2832	2832	2832	2832	2832	1.000	1.000
162	CNAG_01845	3258	3258	1.000	3258	3258	3258	3258	3258	1.000	1.000
162	CNAG_00730	4629	4629	1.000	4629	4629	4629	4629	4629	1.000	1.000
162	CNAG_06150	2097	2097	1.000	2097	2097	2097	2097	2097	1.000	1.000
162	CNAG_06642	7080	7080	1.000	7080	7080	7080	7080	7080	1.000	1.000
162	CNAG_03765	2961	2961	1.000	2961	2961	2961	2961	2961	1.000	1.000
162	CNAG_05135	3351	3351	1.000	3351	3351	3351	3351	3351	1.000	1.000
162	CNAG_01230	1365	1365	1.000	1365	1365	1365	1365	1365	1.000	1.000
162	CNAG_03785	2625	2625	1.000	2625	2625	2625	2625	2625	1.000	1.000
162	CNAG_04514	1278	1278	1.000	1278	1278	1278	1278	1278	1.000	1.000
162	CNAG_00156	3282	3282	1.000	3282	3282	3282	3282	3282	1.000	1.000
162	CNAG_00888	525	525	1.000	525	525	525	525	525	1.000	1.000
162	CNAG_01232	4242	4242	1.000	4242	4242	4242	4242	4242	1.000	1.000
162	CNAG_00040	1641	1641	1.000	1641	1641	1641	1641	1641	1.000	1.000
162	CNAG_04678	1725	1725	1.000	1725	1725	1725	1725	1725	1.000	1.000
162	CNAG_01523	1095	1095	1.000	1095	1095	1095	1095	1095	1.000	1.000
162	CNAG_03347	2502	2502	1.000	2502	2502	2502	2502	2502	1.000	1.000
162	CNAG_00025	1831	1831	1.000	1831	1831	1831	1831	1831	1.000	1.000
162	CNAG_02217	2793	2793	1.000	2793	2793	2793	2793	2793	1.000	1.000
162	CNAG_05292	2007	2007	1.000	2007	2007	2007	2007	2007	1.000	1.000
169	CNAG_06508	5397	5397	1.000	5397	5397	5397	5397	5397	1.000	1.000
169	CNAG_04796	1917	1917	1.000	1917	1917	1917	1917	1917	1.000	1.000
169	CNAG_00854	759	759	1.000	759	759	759	759	759	1.000	1.000
169	CNAG_05818	5793	5793	1.000	5793	5793	5793	5793	5793	1.000	1.000
169	CNAG_00914	1857	1857	1.000	1857	1857	1857	1857	1857	1.000	1.000
169	CNAG_06487	2832	2832	1.000	2832	2832	2832	2832	2832	1.000	1.000
169	CNAG_01845	3258	3258	1.000	3258	3258	3258	3258	3258	1.000	1.000
169	CNAG_00730	4629	4629	1.000	4629	4629	4629	4629	4629	1.000	1.000
169	CNAG_06150	2097	2097	1.000	2097	2097	2097	2097	2097	1.000	1.000
169	CNAG_06642	7080	7080	1.000	7080	7080	7080	7080	7080	1.000	1.000
169	CNAG_03765	2961	2961	1.000	2961	2961	2961	2961	2961	1.000	1.000
169	CNAG_05135	3351	3351	1.000	3351	3351	3351	3351	3351	1.000	1.000
169	CNAG_01230	1365	1365	1.000	1365	1365	1365	1365	1365	1.000	1.000
169	CNAG_03785	2625	2625	1.000	2625	2625	2625	2625	2625	1.000	1.000
169	CNAG_04514	1278	1278	1.000	1278	1278	1278	1278	1278	1.000	1.000
169	CNAG_00156	3282	3282	1.000	3282	3282	3282	3282	3282	1.000	1.000
169	CNAG_00888	525	525	1.000	525	525	525	525	525	1.000	1.000
169	CNAG_01232	4242	4242	1.000	4242	4242	4242	4242	4242	1.000	1.000
169	CNAG_00040	1641	1641	1.000	1641	1641	1641	1641	1641	1.000	1.000
169	CNAG_04678	1725	1725	1.000	1725	1725	1725	1725	1725	1.000	1.000
169	CNAG_01523	1095	1095	1.000	1095	1095	1095	1095	1095	1.000	1.000
169	CNAG_03347	2502	2502	1.000	2502	2502	2502	2502	2502	1.000	1.000
169	CNAG_00025	1831	1831	1.000	1831	1831	1831	1831	1831	1.000	1.000
169	CNAG_02217	2793	2793	1.000	2793	2793	2793	2793	2793	1.000	1.000
169	CNAG_05292	2007	2007	1.000	2007	2007	2007	2007	2007	1.000	1.000
174	CNAG_06508	5397	5397	1.000	5397	5397	5397	5397	5397	1.000	1.000
174	CNAG_04796	1917	1917	1.000	1917	1917	1917	1917	1917	1.000	1.000
174	CNAG_00854	759	759	1.000	759	759	759	759	759	1.000	1.000
174	CNAG_05818	5793	5793	1.000	5793	5793	5793	5793	5793	1.000	1.000
174	CNAG_00914	1857	1857	1.000	1857	1857	1857	1857	1857	1.000	1.000
174	CNAG_06487	2832	2832	1.000	2832	2832	2832	2832	2832	1.000	1.000
174	CNAG_01845	3258	3258	1.000	3258	3258	3258	3258	3258	1.000	1.000
174	CNAG_00730	4629	4629	1.000	4629	4629	4629	4629	4629	1.000	1.000
174	CNAG_06150	2097	2097	1.000	2097	2097	2097	2097	2097	1.000	1.000
174	CNAG_06642	7080	7080	1.000	7080	7080	7080	7080	7080	1.000	1.000
174	CNAG_03765	2961	2961	1.000	2961	2961	2961	2961	2961	1.000	1.000
174	CNAG_05135	3351	3351	1.000	3351	3351	3351	3351	3351	1.000	1.000
174	CNAG_01230	1365	1365	1.000	1365	1365	1365	1365	1365	1.000	1.000
174	CNAG_03785	2625	2625	1.000	2625	2625	2625	2625	2625	1.000	1.000
174	CNAG_04514	1278	1278	1.000	1278	1278	1278	1278	1278	1.000	1.000
174	CNAG_00156	3282	3282	1.000	3282	3282	3282	3282	3282	1.000	1.000
174	CNAG_00888	525	525	1.000	525	525	525	525	525	1.000	1.000
174	CNAG_01232	4242	4242	1.000	4242	4242	4242	4242	4242	1.000	1.000
174	CNAG_00040	1641	1641	1.000	1641	1641	1641	1641	1641	1.000	1.000
174	CNAG_04678	1725	1725	1.000	1725	1725	1725	1725	1725	1.000	1.000
174	CNAG_01523	1095	1095	1.000	1095	1095	1095	1095	1095	1.000	1.000
174	CNAG_03347	2502	2502	1.000	2502	2502	2502	2502	2502	1.000	1.000
174	CNAG_00025	1831	1831	1.000	1831	1831	1831	1831	1831	1.000	1.000
174	CNAG_02217	2793	2793	1.000	2793	2793	2793	2793	2793	1.000	1.000
174	CNAG_05292	2007	2007	1.000	2007	2007	2007	2007	2007	1.000	1.000
196	CNAG_06508	5397	5397	1.000	5397	5397	5397	5397	5397	1.000	1.000
196	CNAG_04796	1917	1917	1.000	1917	1917	1917	1917	1917	1.000	1.000
196	CNAG_00854	759	759	1.000	759	759	759	759	759	1.000	1.000
196	CNAG_05818	5793	5793	1.000	5793	5793	5793	5793	5793	1.000	1.000
196	CNAG_00914	1857	1857	1.000	1857	1857	1857	1857	1857	1.000	1.000
196	CNAG_06487	2832	2832	1.000	2832	2832	2832	2832	2832	1.000	1.000
196	CNAG_01845	3258	3258	1.000	3258	3258	3258	3258	3258	1.000	1.000
196	CNAG_00730	4629	4629	1.000	4629	4629	4629	4629	4629	1.000	1.000
196	CNAG_06150	2097	2097	1.000	2097	2097	2097	2097	2097	1.000	1.000
196	CNAG_06642	7080	7080	1.000	7080	7080	7080	7080	7080	1.000	1.000
196	CNAG_03765	2961	2961	1.000	2961	2961	2961	2961	2961	1.000	1.000
196	CNAG_05135	3351	3351	1.000	3351	3351	3351	3351	3351	1.000	1.000
196	CNAG_01230	1365	1365	1.000	1365	1365	1365	1365	1365	1.000	1.000
196	CNAG_03785	2625	2625	1.000	2625	2625	2625	2625	2625	1.000	1.000
196	CNAG_04514	1278	1278	1.000	1278	1278	1278	1278	1278	1.000	1.000
196	CNAG_00156	3282	3282	1.000	3282	3282	3282	3282	3282	1.000	1.000
196	CNAG_00888	525	525	1.000	525	525	525	525	525	1.000	1.000
196	CNAG_01232	4242	4242	1.000	4242	4242	4242	4242	4242	1.000	1.000
196	CNAG_00040	1641	1641	1.000	1641	1641	1641	1641	1641	1.000	1.000
196	CNAG_04678	1725	1725	1.000	1725	1725	1725	1725	1725	1.000	1.000
196	CNAG_01523	1095	1095	1.000	1095	1095	1095	1095	1095	1.000	1.000
196	CNAG_03347	2502	2502	1.000	2502	2502	2502	2502	2502	1.000	1.000
196	CNAG_00025	1831	1831	1.000	1831	1831	1831	1831	1831	1.000	1.000
196	CNAG_02217	2793	2793	1.000	2793	2793	2793	2793	2793	1.000	1.000
196	CNAG_05292	2007	2007	1.000	2007	2007	2007	2007	2007	1.000	1.000
197	CNAG_06508	5397	5397	1.000	5397	5397	5397	5397	5397	1.000	1.000
197	CNAG_04796	1917	1917	1.000	1917	1917	1917	1917	1917	1.000	1.000
197	CNAG_00854	759	759	1.000	759	759	759	759	759	1.000	1.000
197	CNAG_05818	5793	5793	1.000	5793	5793	5793	5793	5793	1.000	1.000
197	CNAG_00914	1857	1857	1.000	1857	1857	1857	1857	1857	1.000	1.000
197	CNAG_06487	2832	2832	1.000	2832	2832	2832	2832	2832	1.000	1.000
197	CNAG_01845	3258	3258	1.000	3258	3258	3258	3258	3258	1.000	1.000
197	CNAG_00730	4629	4629	1.000	4629	4629	4629	4629	4629	1.000	1.000
197	CNAG_06150	2097	2097	1.000	2097	2097	2097	2097	2097	1.000	1.000
197	CNAG_06642	7080	7080	1.000	7080	7080	7080	7080	7080	1.000	1.000
197	CNAG_03765	2961	2961	1.000	2961	2961	2961	2961	2961	1.000	1.000
197	CNAG_05135	3351	3351	1.000	3351	3351	3351	3351	3351	1.000	1.000
197	CNAG_01230	1365	1365	1.000	1365	1365	1365	1365	1365	1.000	1.000
197	CNAG_03785	2625	2625	1.000	2625	2625	2625	2625	2625	1.000	1.000
197	CNAG_04514	1278	1278	1.000	1278	1278	1278	1278	1278	1.000	1.000
197	CNAG_00156	3282	3282	1.000	3282	3282	3282	3282	3282	1.000	1.000
197	CNAG_00888	525	525	1.000	525	525	525	525	525	1.000	1.000
197	CNAG_01232	4242	4242	1.000	4242	4242	4242	4242	4242	1.000	1.000
197	CNAG_00040	1641	1641	1.000	1641	1641	1641	1641	1641	1.000	1.000
197	CNAG_04678	1725	1725	1.000	1725	1725	1725	1725	1725	1.000	1.000
197	CNAG_01523	1095	1095	1.000	1095	1095	1095	1095	1095	1.000	1.000
197	CNAG_03347	2502	2502	1.000	2502	2502	2502	2502	2502	1.000	1.000
197	CNAG_00025	1831	1831	1.000	1831	1831	1831	1831	1831	1.000	1.000
197	CNAG_02217	2793	2793	1.000	2793	2793	2793	2793	2793	1.000	1.000
197	CNAG_05292	2007	2007	1.000	2007	2007	2007	2007	2007	1.000	1.000
198	CNAG_06508	5397	5397	1.000	5397	5397	5397	5397	5397	1.000	1.000
198	CNAG_04796	1917	1917	1.000	1917	1917	1917	1917	1917	1.000	1.000
198	CNAG_00854	759	759	1.000	759	759	759	759	759	1.000	1.000
198	CNAG_05818	5793	5793	1.000	5793	5793	5793	5793	5793	1.000	1.000
198	CNAG_00914	1857	1857	1.000	1857	1857	1857	1857	1857	1.000	1.000
198	CNAG_06487	2832	2832	1.000	2832	2832	2832	2832	2832	1.000	1.000
198	CNAG_01845	3258	3258	1.000	3258	3258	3258	3258	3258	1.000	1.000
198	CNAG_00730	4629	4629	1.000	4629	4629	4629	4629	4629	1.000	1.000
198	CNAG_06150	2097	2097	1.000	2097	2097	2097	2097	2097	1.000	1.000
198	CNAG_06642	7080	7080	1.000	7080	7080	7080	7080	7080	1.000	1.000
198	CNAG_03765	2961	2961	1.000	2961	2961	2961	2961	2961	1.000	1.000
198	CNAG_05135	3351	3351	1.000	3351	3351	3351	3351	3351	1.000	1.000
198	CNAG_01230	1365	1365	1.000	1365	1365	1365	1365	1365	1.000	1.000
198	CNAG_03785	2625	2625	1.000	2625	2625	2625	2625	2625	1.000	1.000
198	CNAG_04514	1278	1278	1.000	1278	1278	1278	1278	1278	1.000	1.000
198	CNAG_00156	3282	3282	1.000	3282	3282	3282	3282	3282	1.000	1.000
198	CNAG_00888	525	525	1.000	525	525	525	525	525	1.000	1.000
198	CNAG_01232	4242	4242	1.000	4242	4242	4242	4242	4242	1.000	1.000
198	CNAG_00040	1641	1641	1.000	1641	1641	1641	1641	1641	1.000	1.000
198	CNAG_04678	1725	1725	1.000	1725	1725	1725	1725	1725	1.000	1.000
198	CNAG_01523	1095	1095	1.000	1095	1095	1095	1095	1095	1.000	1.000
198	CNAG_03347	2502	2502	1.000	2502	2502	2502	2502	2502	1.000	1.000
198	CNAG_00025	1831	1831	1.000	1831	1831	1831	1831	1831	1.000	1.000
198	CNAG_02217	2793	2793	1.000	2793	2793	2793	2793	2793	1.000	1.000
198	CNAG_05292	2007	2007	1.000	2007	2007	2007	2007	2007	1.000	1.000
208	CNAG_06508	5397	5397	1.000	5397	5397	5397	5397	5397	1.000	1.000
