sample	chrom	chr_length	chr_bases	chr_mean_depth	chr_min_depth	chr_max_depth	sample_mean_depth_nuclear	chr_depth_norm	chr_log2_norm
Cn3	NC_026751.1	1399503	305220069	218.09	0	1648	221.6832550490591	0.9837910398407678	-0.023576179525406533
Cn3	NC_026752.1	1398693	297982250	213.04	0	6555	221.6832550490591	0.9610107897091896	-0.05737546599806045
Cn3	NC_026753.1	1186808	256467891	216.1	0	1180	221.6832550490591	0.97481426800674	-0.036800727461804975
Cn3	NC_026754.1	1059964	230894712	217.83	0	1670	221.6832550490591	0.9826181952795381	-0.025297140963792458
Cn3	NC_026755.1	1561994	336215952	215.25	0	1889	221.6832550490591	0.9709799684796426	-0.04248656203710599
Cn3	NC_026756.1	774062	168054119	217.11	0	1936	221.6832550490591	0.9793703180330556	-0.03007362221766486
Cn3	NC_026757.1	756744	165585198	218.81	0	1668	221.6832550490591	0.9870389170872502	-0.018821126333438416
Cn3	NC_026758.1	942867	202709276	214.99	0	673	221.6832550490591	0.969807123918413	-0.04423024349997685
Cn4	NC_026745.1	2291499	469304139	204.8	0	1196	203.89718298891975	1.0044278052195028	0.006373871891151815
Cn4	NC_026746.1	1621675	426679329	263.11	0	15418	203.89718298891975	1.290405272613786	0.3678242384901214
Cn4	NC_026747.1	1575141	302532480	192.07	0	1100	203.89718298891975	0.941994377678271	-0.08620964579227938
Cn4	NC_026748.1	1084805	208706998	192.39	0	1304	203.89718298891975	0.9435637961239264	-0.08380803043726084
Cn4	NC_026749.1	1814975	348297958	191.9	0	1666	203.89718298891975	0.9411606241290166	-0.08748713191346792
Cn4	NC_026750.1	1422463	279023720	196.16	0	1114	203.89718298891975	0.9620535071868049	-0.05581095930542918
Cn4	NC_026751.1	1399503	271617066	194.08	0	1430	203.89718298891975	0.9518522872900445	-0.07119038787570028
Cn4	NC_026752.1	1398693	271866732	194.37	0	1348	203.89718298891975	0.9532745727564197	-0.06903627980729646
Cn4	NC_026753.1	1186808	229854005	193.67	0	1617	203.89718298891975	0.9498414699065483	-0.07424134951185839
Cn4	NC_026754.1	1059964	205899419	194.25	0	1088	203.89718298891975	0.9526860408392989	-0.06992724481377587
Cn4	NC_026755.1	1561994	296286193	189.68	0	1798	203.89718298891975	0.9302727836622817	-0.10427427551420262
Cn4	NC_026756.1	774062	194285631	250.99	0	1712	203.89718298891975	1.230963548984585	0.29978804169420253
Cn4	NC_026757.1	756744	153511321	202.86	0	1251	203.89718298891975	0.9949132058927165	-0.007357421381677122
Cn4	NC_026758.1	942867	193996045	205.75	0	2125	203.89718298891975	1.0090870162300425	0.013050587200139829
Cn5	NC_026745.1	2291499	458741348	200.19	0	1476	204.75246618887437	0.977717161244516	-0.03251091916339896
Cn5	NC_026746.1	1621675	412484660	254.36	0	11382	204.75246618887437	1.242280519177557	0.31299098509612666
Cn5	NC_026747.1	1575141	319288838	202.7	0	1488	204.75246618887437	0.9899758658487606	-0.01453474004331112
Cn5	NC_026748.1	1084805	216497822	199.57	0	1487	204.75246618887437	0.9746891146888859	-0.03698596240201557
Cn5	NC_026749.1	1814975	364240565	200.69	0	878	204.75246618887437	0.9801591342732501	-0.028912097099444485
Cn5	NC_026750.1	1422463	287530229	202.14	0	979	204.75246618887437	0.9872408560565785	-0.01852599455465891
Cn5	NC_026751.1	1399503	279347819	199.61	0	1363	204.75246618887437	0.9748844725311847	-0.036696830672826995
Cn5	NC_026752.1	1398693	274883960	196.53	0	3047	204.75246618887437	0.9598419186741832	-0.05913127439130917
Cn5	NC_026753.1	1186808	238197251	200.7	0	1122	204.75246618887437	0.9802079737338246	-0.028840212147592997
Cn5	NC_026754.1	1059964	214393366	202.26	0	1446	204.75246618887437	0.9878269295834747	-0.01766979569220594
Cn5	NC_026755.1	1561994	306219913	196.04	0	1496	204.75246618887437	0.9574487851060238	-0.06273277698781599
Cn5	NC_026756.1	774062	154306925	199.35	0	1401	204.75246618887437	0.973614646556243	-0.03857722351287923
Cn5	NC_026757.1	756744	154285705	203.88	0	1419	204.75246618887437	0.9957389221965729	-0.006160570492195609
Cn5	NC_026758.1	942867	187599955	198.97	0	589	204.75246618887437	0.9717587470544051	-0.041329906189401265
Cn6	NC_026745.1	2291499	691343527	301.7	0	1766	306.9431587512763	0.9829181442824566	-0.02485681845875472
Cn6	NC_026746.1	1621675	589305376	363.39	0	14676	306.9431587512763	1.1838999816069005	0.24354720416384823
Cn6	NC_026747.1	1575141	480930373	305.33	0	2690	306.9431587512763	0.9947444381629514	-0.007602167374140169
Cn6	NC_026748.1	1084805	326190450	300.69	0	1895	306.9431587512763	0.9796276327619883	-0.029694625715536757
Cn6	NC_026749.1	1814975	549820653	302.94	0	1303	306.9431587512763	0.9869579802085761	-0.018939431720557964
Cn6	NC_026750.1	1422463	433076451	304.46	0	1214	306.9431587512763	0.9919100371502709	-0.011718815850512057
Cn6	NC_026751.1	1399503	423480957	302.59	0	1965	306.9431587512763	0.9858177039391068	-0.020607204813694508
Cn6	NC_026752.1	1398693	414656124	296.46	0	4076	306.9431587512763	0.9658465795624033	-0.050134053324152224
Cn6	NC_026753.1	1186808	357645491	301.35	0	1678	306.9431587512763	0.9817778680129875	-0.026531450151008735
Cn6	NC_026754.1	1059964	321236591	303.06	0	1949	306.9431587512763	0.9873489320723942	-0.01836806734046046
Cn6	NC_026755.1	1561994	465369401	297.93	0	2204	306.9431587512763	0.9706357398941741	-0.04299811216131345
Cn6	NC_026756.1	774062	233145658	301.2	0	1966	306.9431587512763	0.9812891781832148	-0.027249744933528892
Cn6	NC_026757.1	756744	230962053	305.21	0	2176	306.9431587512763	0.9943534862991334	-0.008169283065613181
Cn6	NC_026758.1	942867	281359347	298.41	0	869	306.9431587512763	0.9721995473494461	-0.04067563247127858
Cn7	NC_026745.1	2291499	616031108	268.83	0	2200	271.78761044895367	0.989117934978463	-0.01578554754825904
Cn7	NC_026746.1	1621675	526412784	324.61	0	13576	271.78761044895367	1.1943517199470257	0.25622775276794274
Cn7	NC_026747.1	1575141	418891856	265.94	0	1893	271.78761044895367	0.978484632028317	-0.0313789026664989
Cn7	NC_026748.1	1084805	287758558	265.26	0	1652	271.78761044895367	0.9759826783929885	-0.035072551626139495
Cn7	NC_026749.1	1814975	491341446	270.72	0	2173	271.78761044895367	0.9960718943472437	-0.005678218181412004
Cn7	NC_026750.1	1422463	382491145	268.89	0	1187	271.78761044895367	0.9893386955933449	-0.015463589269554292
Cn7	NC_026751.1	1399503	374682831	267.73	0	1879	271.78761044895367	0.9850706570389611	-0.02170088513684734
Cn7	NC_026752.1	1398693	364638281	260.7	0	6150	271.78761044895367	0.9592048716619622	-0.06008910887844321
Cn7	NC_026753.1	1186808	318410080	268.29	0	1458	271.78761044895367	0.9871310894445258	-0.01868640986788061
Cn7	NC_026754.1	1059964	283689231	267.64	0	1736	271.78761044895367	0.9847395161166381	-0.02218594240529041
Cn7	NC_026755.1	1561994	413110779	264.48	0	1914	271.78761044895367	0.9731127903995236	-0.03932106200904795
Cn7	NC_026756.1	774062	205798683	265.87	0	2007	271.78761044895367	0.9782270779776214	-0.03175869489848198
Cn7	NC_026757.1	756744	203241884	268.57	0	1692	271.78761044895367	0.988161305647308	-0.017181530949443007
Cn7	NC_026758.1	942867	247893538	262.91	0	796	271.78761044895367	0.96733622097678	-0.04791067464937723
Cn8	NC_026745.1	2291499	620997316	271	0	2382	280.10059354112786	0.9675095528143121	-0.04765218894835445
Cn8	NC_026746.1	1621675	582941348	359.47	0	21901	280.10059354112786	1.2833603651297445	0.3599263333159199
Cn8	NC_026747.1	1575141	421709400	267.73	0	2232	280.10059354112786	0.9558351755534161	-0.06516623391243623
Cn8	NC_026748.1	1084805	288913264	266.33	0	2996	280.10059354112786	0.950836971221534	-0.07273009446673334
Cn8	NC_026749.1	1814975	484454388	266.92	0	8604	280.10059354112786	0.9529433573328272	-0.06953763156393353
Cn8	NC_026750.1	1422463	386064999	271.41	0	1244	280.10059354112786	0.9689733126543633	-0.04547116323194336
Cn8	NC_026751.1	1399503	376168508	268.79	0	1882	280.10059354112786	0.9596195302618411	-0.05946557509971942
Cn8	NC_026752.1	1398693	369630989	264.27	0	1515	280.10059354112786	0.9434824705617647	-0.08393238137382464
Cn8	NC_026753.1	1186808	328733724	276.99	0	8347	280.10059354112786	0.9888947270628646	-0.01611114804664561
Cn8	NC_026754.1	1059964	281939973	265.99	0	1443	280.10059354112786	0.949623121598077	-0.0745730324762204
Cn8	NC_026755.1	1561994	421852225	270.07	0	3262	280.10059354112786	0.9641893170795618	-0.0526116496810145
Cn8	NC_026756.1	774062	273308942	353.08	0	3878	280.10059354112786	1.260547132500654	0.3340500623088731
Cn8	NC_026757.1	756744	199765452	263.98	0	2545	280.10059354112786	0.942447128235875	-0.08551641016280193
Cn8	NC_026758.1	942867	254953844	270.4	0	1888	280.10059354112786	0.9653674652435054	-0.05084988890740419
Cn9	NC_026745.1	2291499	722297052	315.21	0	1981	336.40889561606826	0.9369847352661511	-0.09390255024218529
Cn9	NC_026746.1	1621675	669677939	412.95	0	18262	336.40889561606826	1.2275240202663529	0.2957512555624457
Cn9	NC_026747.1	1575141	508031750	322.53	0	3696	336.40889561606826	0.9587439696246683	-0.060782496608111
Cn9	NC_026748.1	1084805	341372922	314.69	0	2055	336.40889561606826	0.9354389973062565	-0.0962845206872786
Cn9	NC_026749.1	1814975	574951599	316.78	0	1604	336.40889561606826	0.941651674875833	-0.08673460178213828
Cn9	NC_026750.1	1422463	453709219	318.96	0	1532	336.40889561606826	0.9481318840153915	-0.07684034464430334
Cn9	NC_026751.1	1399503	444629905	317.71	0	2264	336.40889561606826	0.9444161677656447	-0.08250535514666309
Cn9	NC_026752.1	1398693	433333530	309.81	0	4738	336.40889561606826	0.9209328410672449	-0.118832143122318
Cn9	NC_026753.1	1186808	376818027	317.51	0	1794	336.40889561606826	0.9438216531656852	-0.08341382470905798
Cn9	NC_026754.1	1059964	336655597	317.61	0	2120	336.40889561606826	0.9441189104656651	-0.08295951841959728
Cn9	NC_026755.1	1561994	488664883	312.85	0	2519	336.40889561606826	0.9299694629866293	-0.10474475105493315
Cn9	NC_026756.1	774062	244998205	316.51	0	2116	336.40889561606826	0.9408490801658878	-0.08796477337695735
Cn9	NC_026757.1	756744	464344489	613.61	0	3188	336.40889561606826	1.8240005184057073	0.8671061395362274
Cn9	NC_026758.1	942867	295680257	313.6	0	914	336.40889561606826	0.9321988927364774	-0.1012902956390632
Cn10	NC_026745.1	2291499	677244423	295.55	0	2857	300.26224886908943	0.9843062226875418	-0.022820879704285472
Cn10	NC_026746.1	1621675	599117486	369.44	0	17565	300.26224886908943	1.230391104414432	0.29911697793157627
Cn10	NC_026747.1	1575141	466663801	296.27	0	2385	300.26224886908943	0.986704126528973	-0.01931055243614966
Cn10	NC_026748.1	1084805	316745075	291.98	0	2295	300.26224886908943	0.9724166161404447	-0.04035354930084549
Cn10	NC_026749.1	1814975	534233144	294.35	0	1416	300.26224886908943	0.9803097162851562	-0.028690472642428144
Cn10	NC_026750.1	1422463	421485734	296.31	0	1712	300.26224886908943	0.9868373434090525	-0.019115784466514508
Cn10	NC_026751.1	1399503	413386024	295.38	0	1883	300.26224886908943	0.9837400509472037	-0.023650954886513788
Cn10	NC_026752.1	1398693	403887110	288.76	0	7189	300.26224886908943	0.9616926572940434	-0.056352191164923064
Cn10	NC_026753.1	1186808	347998659	293.22	0	1772	300.26224886908943	0.9765463394229098	-0.034239589874708716
Cn10	NC_026754.1	1059964	314701840	296.9	0	2235	300.26224886908943	0.9888022923902253	-0.016246006968521225
Cn10	NC_026755.1	1561994	451858763	289.28	0	2379	300.26224886908943	0.963424476735077	-0.053756517427351415
Cn10	NC_026756.1	774062	226667107	292.83	0	2242	300.26224886908943	0.9752474748421344	-0.036159737128369895
Cn10	NC_026757.1	756744	226039097	298.7	0	2456	300.26224886908943	0.9947970519938037	-0.007525862644386066
Cn10	NC_026758.1	942867	272283831	288.78	0	1064	300.26224886908943	0.9617592657340831	-0.05625227115651054
Cn11	NC_026745.1	2291499	756299114	330.05	0	1656	336.74815237978885	0.9801093121596861	-0.028985432071816884
Cn11	NC_026746.1	1621675	682662662	420.96	0	19644	336.74815237978885	1.2500736738274245	0.32201312347400934
Cn11	NC_026747.1	1575141	520432482	330.4	0	2542	336.74815237978885	0.9811486645585829	-0.02745634338507228
Cn11	NC_026748.1	1084805	349432262	322.12	0	2272	336.74815237978885	0.9565605563789671	-0.06407179163514833
Cn11	NC_026749.1	1814975	600614491	330.92	0	1622	336.74815237978885	0.9826928452655154	-0.025187542877380877
Cn11	NC_026750.1	1422463	473297688	332.73	0	1700	336.74815237978885	0.9880677819569531	-0.017318080062324343
Cn11	NC_026751.1	1399503	462642449	330.58	0	2420	336.74815237978885	0.981683188649444	-0.026670585529223703
Cn11	NC_026752.1	1398693	451078983	322.5	0	4766	336.74815237978885	0.9576889961263407	-0.0623708696065388
Cn11	NC_026753.1	1186808	390055821	328.66	0	1884	336.74815237978885	0.9759815983469246	-0.03507414814828789
Cn11	NC_026754.1	1059964	351311819	331.44	0	2139	336.74815237978885	0.9842370259724477	-0.022922304712672887
Cn11	NC_026755.1	1561994	510135494	326.59	0	2136	336.74815237978885	0.9698345713020204	-0.04418941306792734
Cn11	NC_026756.1	774062	253398762	327.36	0	2239	336.74815237978885	0.9721211465795936	-0.04079197994655118
Cn11	NC_026757.1	756744	251235431	332	0	2900	336.74815237978885	0.9858999898106825	-0.020486788570230584
Cn11	NC_026758.1	942867	308976881	327.7	0	977	336.74815237978885	0.9731308031956646	-0.039294357261757916
Cn12	NC_026745.1	2291499	400358707	174.71	0	837	178.49117718505124	0.9788158874590698	-0.030890576456988228
Cn12	NC_026746.1	1621675	347716783	214.42	0	9250	178.49117718505124	1.2012918698928152	0.26458671564753916
Cn12	NC_026747.1	1575141	275755832	175.07	0	1164	178.49117718505124	0.9808327938724706	-0.027920878943647868
Cn12	NC_026748.1	1084805	188383516	173.66	0	1029	178.49117718505124	0.9729332437533172	-0.039587274680566664
Cn12	NC_026749.1	1814975	319484211	176.03	0	906	178.49117718505124	0.986211210974873	-0.02003144179896763
Cn12	NC_026750.1	1422463	250108739	175.83	0	863	178.49117718505124	0.9850907074118725	-0.021671520462369177
Cn12	NC_026751.1	1399503	245658707	175.53	0	1229	178.49117718505124	0.9834099520673718	-0.02413513964179605
Cn12	NC_026752.1	1398693	239801918	171.45	0	3830	178.49117718505124	0.9605516793821619	-0.05806485935922517
Cn12	NC_026753.1	1186808	207713816	175.02	0	1023	178.49117718505124	0.9805526679817206	-0.028332971562887926
Cn12	NC_026754.1	1059964	185291507	174.81	0	980	178.49117718505124	0.97937613924057	-0.030065047113743894
Cn12	NC_026755.1	1561994	270594916	173.24	0	1201	178.49117718505124	0.9705801862710163	-0.04308068611465347
Cn12	NC_026756.1	774062	143511881	185.4	0	940	178.49117718505124	1.0387068029014455	0.05478848033067124
Cn12	NC_026757.1	756744	133316640	176.17	0	1283	178.49117718505124	0.9869955634689732	-0.018884495084814296
Cn12	NC_026758.1	942867	164214104	174.16	0	518	178.49117718505124	0.9757345026608184	-0.03543945099401528
Cn13	NC_026745.1	2291499	661978852	288.88	0	1553	293.92688698908535	0.9828294476875374	-0.02498701028830922
Cn13	NC_026746.1	1621675	564146442	347.88	0	13831	293.92688698908535	1.1835596381249673	0.24313240354560414
Cn13	NC_026747.1	1575141	457389900	290.38	0	2099	293.92688698908535	0.9879327576139129	-0.017515244938047455
Cn13	NC_026748.1	1084805	310397345	286.13	0	1870	293.92688698908535	0.9734733794891827	-0.03878656720429967
Cn13	NC_026749.1	1814975	527929559	290.87	0	1326	293.92688698908535	0.9895998388565288	-0.015082829497196184
Cn13	NC_026750.1	1422463	415537490	292.13	0	1298	293.92688698908535	0.993886619194684	-0.008846813779194053
Cn13	NC_026751.1	1399503	406842184	290.7	0	1934	293.92688698908535	0.9890214637315395	-0.01592626421334944
Cn13	NC_026752.1	1398693	397613819	284.28	0	3942	293.92688698908535	0.9671792972466531	-0.04814473127556167
Cn13	NC_026753.1	1186808	342603965	288.68	0	1622	293.92688698908535	0.9821490063640208	-0.025986175811236502
Cn13	NC_026754.1	1059964	307966801	290.54	0	2019	293.92688698908535	0.9884771106727263	-0.016720535813282863
Cn13	NC_026755.1	1561994	447683277	286.61	0	2006	293.92688698908535	0.9751064386656229	-0.036368388687847954
Cn13	NC_026756.1	774062	222315591	287.21	0	1813	293.92688698908535	0.9771477626361729	-0.03335135428681001
Cn13	NC_026757.1	756744	218679938	288.97	0	1912	293.92688698908535	0.9831356462831201	-0.024537611466019776
Cn13	NC_026758.1	942867	271544387	288	0	932	293.92688698908535	0.979835505864064	-0.029388524019911936
Cn14	NC_026745.1	2291499	671518060	293.05	0	1248	298.114611554707	0.9830111931505324	-0.024720250843553615
Cn14	NC_026746.1	1621675	577264957	355.97	0	15223	298.114611554707	1.194070958627521	0.2558885724638684
Cn14	NC_026747.1	1575141	462318770	293.51	0	1941	298.114611554707	0.9845542238580882	-0.022457430825618564
Cn14	NC_026748.1	1084805	312665718	288.22	0	1688	298.114611554707	0.966809370721196	-0.04869663851175005
Cn14	NC_026749.1	1814975	534479789	294.48	0	1369	298.114611554707	0.9878080060022821	-0.017697433345551204
Cn14	NC_026750.1	1422463	420796219	295.82	0	1320	298.114611554707	0.992302921541684	-0.011147493737067707
Cn14	NC_026751.1	1399503	412245643	294.57	0	1965	298.114611554707	0.98810990331463	-0.01725657924253666
Cn14	NC_026752.1	1398693	402447086	287.73	0	4128	298.114611554707	0.9651657075761908	-0.05115143750677958
Cn14	NC_026753.1	1186808	347063511	292.43	0	1704	298.114611554707	0.9809314561099136	-0.027775765155583516
Cn14	NC_026754.1	1059964	313706094	295.96	0	1751	298.114611554707	0.992772539583114	-0.01046488428932538
Cn14	NC_026755.1	1561994	454009360	290.66	0	2197	298.114611554707	0.9749941423004053	-0.0365345436143883
Cn14	NC_026756.1	774062	226791876	292.99	0	1662	298.114611554707	0.9828099282756338	-0.025015663111507276
Cn14	NC_026757.1	756744	221317599	292.46	0	1778	298.114611554707	0.9810320885473628	-0.027627768604900228
Cn14	NC_026758.1	942867	275115981	291.79	0	871	298.114611554707	0.9787846307776621	-0.03093664699982397
Cn15	NC_026745.1	2291499	441443655	192.64	0	1482	194.16979187074105	0.9921213703944255	-0.011411472505733902
Cn15	NC_026746.1	1621675	373166467	230.11	0	9521	194.16979187074105	1.185096805136323	0.24500491109471204
Cn15	NC_026747.1	1575141	301328258	191.3	0	1492	194.16979187074105	0.9852201939184677	-0.02148189603196107
Cn15	NC_026748.1	1084805	205759816	189.67	0	1198	194.16979187074105	0.9768254792499517	-0.03382726320645284
Cn15	NC_026749.1	1814975	346942009	191.16	0	816	194.16979187074105	0.984499175480681	-0.022538097018969885
Cn15	NC_026750.1	1422463	273644188	192.37	0	855	194.16979187074105	0.990730834835837	-0.013434940596930775
Cn15	NC_026751.1	1399503	268225068	191.66	0	1271	194.16979187074105	0.98707424132991906	-0.01876949594993215
Cn15	NC_026752.1	1398693	263124661	188.12	0	3532	194.16979187074105	0.9688427751173139	-0.04566553240745416
Cn15	NC_026753.1	1186808	225341872	189.87	0	1098	194.16979187074105	0.977855505589647	-0.032306796141663846
Cn15	NC_026754.1	1059964	203741561	192.22	0	1131	194.16979187074105	0.9899583150810656	-0.014560317060731182
Cn15	NC_026755.1	1561994	294719530	188.68	0	1236	194.16979187074105	0.9717268488684604	-0.04137726373583896
Cn15	NC_026756.1	774062	147523625	190.58	0	1136	194.16979187074105	0.9815120990955649	-0.026922042990531806
Cn15	NC_026757.1	756744	144065570	190.38	0	1581	194.16979187074105	0.9804820727558696	-0.028436842626642055
Cn15	NC_026758.1	942867	179072733	189.92	0	597	194.16979187074105	0.9781130121745706	-0.03192692962352935
Cn16	NC_026745.1	2291499	732789534	319.79	0	2336	324.08163327747485	0.9867575547738604	-0.019232435222431666
Cn16	NC_026746.1	1621675	635134636	391.65	0	17392	324.08163327747485	1.2084918112735932	0.2732076974518585
Cn16	NC_026747.1	1575141	501117877	318.14	0	2774	324.08163327747485	0.9816662449599922	-0.026695486421880566
Cn16	NC_026748.1	1084805	342777772	315.98	0	2071	324.08163327747485	0.9750012575672923	-0.03652401522006159
Cn16	NC_026749.1	1814975	580312003	319.74	0	1322	324.08163327747485	0.9866032726582886	-0.019458021988311085
Cn16	NC_026750.1	1422463	456232370	320.73	0	1478	324.08163327747485	0.9896580585466095	-0.014997956011738908
Cn16	NC_026751.1	1399503	446662790	319.16	0	2058	324.08163327747485	0.9848136001176562	-0.022077409540604116
Cn16	NC_026752.1	1398693	435973258	311.7	0	6029	324.08163327747485	0.9617947084743496	-0.05619910595677159
Cn16	NC_026753.1	1186808	375783223	316.63	0	1734	324.08163327747485	0.9770069250697251	-0.033559306769093196
Cn16	NC_026754.1	1059964	338987996	319.81	0	1893	324.08163327747485	0.986819267620089	-0.019142210391827775
Cn16	NC_026755.1	1561994	490419568	313.97	0	2021	324.08163327747485	0.9687991165213076	-0.04573054549396198
Cn16	NC_026756.1	774062	246339357	318.24	0	1913	324.08163327747485	0.9819748091911358	-0.026242079635757875
Cn16	NC_026757.1	756744	240976358	318.44	0	2780	324.08163327747485	0.9825919376534228	-0.025335693326564757
Cn16	NC_026758.1	942867	298781940	316.89	0	906	324.08163327747485	0.9778091920706982	-0.0323751271640584
Cn17	NC_026745.1	2291499	584912152	255.25	0	1570	273.48750780323934	0.9333150243324447	-0.09956397486934754
Cn17	NC_026746.1	1621675	562916057	347.12	0	14208	273.48750780323934	1.2692353036093174	0.3439595552948689
Cn17	NC_026747.1	1575141	410247054	260.45	0	3709	273.48750780323934	0.9523286898624299	-0.07046849888380899
Cn17	NC_026748.1	1084805	273477994	252.1	0	1618	273.48750780323934	0.9217971307902422	-0.1174788177759716
Cn17	NC_026749.1	1814975	462435853	254.79	0	1288	273.48750780323934	0.9316330462278691	-0.10216628017381427
Cn17	NC_026750.1	1422463	363832423	255.78	0	1077	273.48750780323934	0.9352529556268471	-0.09657147483678101
Cn17	NC_026751.1	1399503	357538958	255.48	0	1878	273.48750780323934	0.9341560133847325	-0.09826458034842359
Cn17	NC_026752.1	1398693	348013056	248.81	0	4613	273.48750780323934	0.9097673308683862	-0.13643046553410978
Cn17	NC_026753.1	1186808	464603356	391.47	0	1574	273.48750780323934	1.4313999317352484	0.5174268159638622
Cn17	NC_026754.1	1059964	270858520	255.54	0	1653	273.48750780323934	0.9343754018331555	-0.09792580025037996
Cn17	NC_026755.1	1561994	392884769	251.53	0	1983	273.48750780323934	0.9197129405302246	-0.12074445534492599
Cn17	NC_026756.1	774062	199556399	257.8	0	1846	273.48750780323934	0.9426390333904183	-0.08522267227286025
Cn17	NC_026757.1	756744	234854358	310.35	0	1901	273.48750780323934	1.13478674946748	0.1824212099466545
Cn17	NC_026758.1	942867	240374344	254.94	0	838	273.48750780323934	0.9321815173489264	-0.10131718648743132
Cn18	NC_026745.1	2291499	612751408	267.4	0	2914	272.2069819518545	0.982340710302924	-0.025704606179686885
Cn18	NC_026746.1	1621675	533828896	329.18	0	15688	272.2069819518545	1.2093003553385062	0.2741726129416034
Cn18	NC_026747.1	1575141	422640164	268.32	0	3048	272.2069819518545	0.9857204913555744	-0.020749477596055672
Cn18	NC_026748.1	1084805	283930783	261.73	0	1665	272.2069819518545	0.9615109727284381	-0.056624773244628814
Cn18	NC_026749.1	1814975	482176802	265.67	0	7303	272.2069819518545	0.9759852524539187	-0.03506874666102686
Cn18	NC_026750.1	1422463	379516949	266.8	0	1144	272.2069819518545	0.980136505268587	-0.028945405088454536
Cn18	NC_026751.1	1399503	372615179	266.25	0	2423	272.2069819518545	0.9781159839871112	-0.03192254627247668
